,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
clust coef e-wpli delta,-0.20279598786382555,0.2886453049023478,-0.1694127036015084,0.23600831635694866,0.2728442433989235,0.21454655459304256,-0.22576657680399181,-0.14681255588476935,-0.21838052909652142,-0.32049054418171286,-0.2238863287250384,0.3239029302730877
clust coef e-wpli gamma,0.1343021389444161,-0.28237510726776494,-0.1815239713675409,-0.331118028026184,-0.3463265893767918,0.2660236243885795,-0.1742094210550045,0.28211682051064685,0.2501353546489561,0.23023847296718794,0.2693452380952381,-0.2746149311768021
clust coef e-wpli theta,0.15888347080669799,-0.20439402863996461,0.36087226589088434,0.12308760828493348,-0.20203857394121116,0.15286977184878137,0.14931893198996735,-0.3187066393272111,-0.27904458520739783,-0.35634962604819825,-0.1406009984639017,0.2969130347915103
clust coef s-lcoh alpha,-0.15399623750337027,-0.25184092644954736,0.1573014358354759,0.11322344455478203,-0.19511961765326072,0.18044677352496186,0.2039003901711578,-0.13064554715783594,0.14001334660708706,-0.11792702273929138,-0.10829493087557604,0.27183371434850334
clust coef s-lcoh beta,0.2860967020388615,0.19898868585153115,0.25607716456204027,0.20235411068937312,0.3343067967013742,0.1530964321365308,0.1540954096408279,-0.1329874970201487,0.28770728147229674,-0.3349449774621641,-0.20334101382488484,-0.16979933349117812
clust coef s-lcoh delta,-0.1613996701311835,0.2277210857402709,-0.093892542920699,0.22977699041999877,0.2127957833524043,0.17082630353381942,-0.15951995209858916,-0.13432215661910116,-0.23631029578433546,-0.18904081992395053,-0.2574884792626728,0.2710114415470933
clust coef s-lcoh gamma,0.19299732703289627,-0.18041833040504635,0.13095157183352898,-0.18386195720036794,-0.1801706318048421,0.3451280648131301,0.2637143716080649,0.30271590639636575,0.40618979870005656,0.1742842033693435,0.32704493087557607,-0.14839605616035736
clust coef s-lcoh theta,-0.16935956991729645,-0.22829765563770382,0.31644010989494076,0.16700962632634958,-0.1413588222625797,0.20492608460190018,0.18592259237972789,-0.20803062164049393,-0.19732816259229033,-0.30558283599002795,-0.1431931643625192,0.32639393317147697
clust coef s-lps alpha,-0.18494065034968774,-0.2604654511653146,0.11243414447069286,0.18204553830376716,-0.21019486182810174,0.24559901401471435,0.267026702843335,0.13067072941441996,0.09800934262496094,0.1149555538767596,-0.09975038402457759,0.31294735441900656
clust coef s-lps beta,0.3403159586366703,-0.13527771218519521,0.18797847933866002,-0.18378627307967624,0.1686558724351143,0.13292366652683166,0.14855085518178876,-0.16189672757859042,0.392717291427612,-0.3624940192893657,-0.23982334869431646,-0.2167656211481882
clust coef s-lps delta,-0.2668864879653853,0.14106743490525062,0.10249855354885783,0.2020766022468369,0.252087374535072,-0.12536832360185068,-0.20063606373639883,-0.10893844198242063,-0.23411943946152672,-0.20153106192238926,-0.1532258064516129,0.3493933871167996
clust coef s-lps gamma,0.30842797104367076,-0.2442013753085614,0.1477768060953226,0.11223955098578993,-0.19110460287302666,0.2651421677139984,0.20546054618777057,0.2518729303532527,0.38533889024849755,0.1551962932185037,0.23012672811059906,-0.24107103777810332
clust coef s-lps theta,-0.20359439726486422,-0.23934857867183446,0.17325639935959058,0.2114614332126076,0.15719161639595544,0.17243811002448203,0.1852985299730828,-0.133818511487421,-0.14056735625193525,-0.22807282616907154,-0.12807219662058372,0.2903590368743889
correlation dimension,0.2829514528832546,0.3860135463313295,-0.40890637577333255,-0.3293268371698138,0.2924395356596884,-0.34731911426137463,0.3262166218735969,-0.41684189323509213,0.43555230987701044,-0.2660975548336733,-0.40384984639016897,-0.26295800499210653
dfa exponent alpha,0.15104454214195454,0.15334356897142623,0.2631118530249454,0.24970714220214624,0.20347791886242714,-0.3386052854212299,-0.22850285043312799,-0.23205449442163806,-0.3379207011008096,-0.20102742313212965,-0.30606758832565284,0.15985950639178
