id,Tap_simon_congruent,betw cen e-icoh gamma_FC1,clust coef e-plv alpha_AF8,life time beta_C3,node str e-plv alpha_AF8,node str e-plv delta_FC5,source ampl alpha_LFusiformGyrus,waiting time gamma_FC1
sub-010307,379.0,2,0.18744444430385,239.321428571429,11.8312908005226,17.0182322265585,2.183623,119.771951219512
sub-010308,358.0,6,0.170136376090964,199.9375,12.0479892346637,14.0508336072273,1.938499,127.734821428571
sub-010309,452.0,0,0.272556828107068,127.830357142857,17.0937193999009,16.1813585934104,4.907674,111.754255319149
sub-010310,347.0,0,0.233525164627701,167.965789473684,15.0437680333706,14.8684261309278,3.567792,119.981395348837
sub-010311,574.0,4,0.208703008675086,175.445833333333,13.2462877688875,11.0133492076064,5.271286,111.984615384615
sub-010314,654.0,0,0.285732257921125,167.56052631579,18.6874807327819,16.6827551525047,3.314265,135.705434782609
sub-010315,338.0,0,0.197399760335993,175.3575,12.9852257509018,12.8881382513858,2.691924,127.086458333333
sub-010316,499.2857143,2,0.279287511796802,151.124242424242,17.8357605481134,16.0823168217051,5.048753,119.827777777778
sub-010317,349.6551724,2,0.21090831453573,159.617567567568,13.6090249160095,14.0069290602558,1.761409,103.639830508475
sub-010318,409.6551724,2,0.219229242353919,255.422727272727,14.9905250106298,14.2070418303603,8.9959,159.953125
sub-010319,375.5172414,4,0.234265426713298,183.71935483871,15.8564784411069,11.8912765566158,6.104895,119.231395348837
sub-010321,562.7586207,0,0.294744595693792,135.654285714286,18.7484828469487,14.0605446336086,7.275634,119.529787234043
