id,Pts-2_subtest_3,approx entropy_TP8,betw cen e-plv theta_CPz,clust coef e-plv beta_FT8,lzc primitive_TP8,mod index theta-alpha_C5,mod index theta-beta_FC5,mod index theta-gamma_P3,node str e-plv beta_FT8,relative ampl delta_P7,skewness ampl theta_PO10,source ampl alpha_RParahippocampalGyrus,spectral entropy alpha_TP8,spectral entropy delta_P7
sub-010255,15,0.557944742921477,0,0.170500754718988,2.60598010217969,0.0012416357721447,0.0018445929131825,0.0017689856905151,11.6300978951966,3.54030653277244,0.137656291529685,0.2016733,0.267947724398461,0.33141872877342
sub-010257,17,0.615470155995169,8,0.19206942080029,2.35048007168274,0.0009853619534913,0.0015920633647335,0.0016869689380225,13.7882900807573,3.69166191116711,0.0889879230565843,0.05320478,0.221263957810821,0.335290076750398
sub-010258,12,0.593461396207649,12,0.167945839294876,2.55892051221075,0.0011359951373978,0.0017978768827431,0.0018479577388418,11.6827060478609,3.53304614701866,0.119817760172761,0.1506673,0.251969870315512,0.329396437817229
sub-010267,13,0.695317886632132,8,0.150321691462669,1.64924718801111,0.0004838063511,0.0011430190701885,0.0011281289945635,10.3059461078002,0.683757971749277,0.0354728808572908,0.8379269,0.486753829437194,0.0947346087887556
sub-010268,18,0.675454491987047,6,0.15416802509665,2.02689860877551,0.0007042333758362,0.001383015639319,0.0012751098312257,10.6591310513329,0.701710041577237,0.0854464465028296,0.5263358,0.529879822148636,0.0979947874912094
sub-010272,13,0.559230161772979,28,0.180062994009187,2.60995267618827,0.0008441419092953,0.0016790177698428,0.0015974570458819,12.4661173374303,3.78211566732592,0.154444030889813,0.04446153,0.286894051701781,0.343526774902741
sub-010275,11,0.578076103651072,18,0.183599227958002,2.57593881200051,0.0010194708488494,0.0020036466074259,0.001284098671653,12.7055111416306,3.63350842437271,0.135025161955985,0.2683698,0.256267646876583,0.336463079815411
sub-010283,16,0.604006818158906,0,0.176643423016611,2.28427198637978,0.0007244879052016,0.0019641431914512,0.0017212785115365,12.5452486395154,2.05321258303306,0.104067011770885,0.4593237,0.467157737638511,0.220645594229927
sub-010284,17,0.66369717381974,12,0.15341597795788,2.2273935971659,0.0007586801944484,0.0014667972577955,0.0013104288443089,10.2863296083756,3.08186412980102,0.0861343749798085,0.4872256,0.407732536005102,0.29509410131575
sub-010286,17,0.694722582332298,0,0.155890669441446,1.86095750405116,0.0005356869336892,0.0014626665028865,0.001136246633426,10.5482884557029,1.36887734673923,0.0901855936277973,0.5752081,0.514613966935573,0.165115017707013
sub-010287,20,0.715664872515729,0,0.149765429083664,1.69250311737632,0.0004991858370363,0.0012962728556285,0.0012311536576526,10.4811618649836,0.905229550465375,0.023422367451981,0.9471075,0.383174215612376,0.117283951428794
sub-010288,17,0.67389943163473,2,0.179999705939524,2.07731017044564,0.0005512134515626,0.0014091280391512,0.001159508850616,12.7374314317798,1.25441773513861,0.0707073679180208,1.174793,0.415961160852326,0.151966242402296
sub-010289,19,0.708963103138757,0,0.144393468664916,1.62602311750381,0.0006491568963981,0.0012648798289719,0.0012416081037005,9.61265053733562,0.681590248031399,0.0242498670418326,0.7476697,0.489291542679904,0.0941094066815732
sub-010290,17,0.691454980340641,0,0.150997988143595,1.84928401731047,0.0005682454613487,0.0013119119055226,0.0014322630686253,10.3448559272893,0.934678011562715,0.102879616431199,1.060304,0.608386967688827,0.119978285478304
sub-010291,15,0.60223519866585,14,0.180470283361617,2.5161531109136,0.0012800738254273,0.0021709040012706,0.0017125748942752,12.528830227362,3.47090344632736,0.146165119549175,0.2066397,0.213862263091467,0.323912703962869
