id,Tap_simon_congruent,betw cen e-icoh delta_POz,betw cen e-plv delta_C3,betw cen e-wpli gamma_P7,betw cen s-lps alpha_LInferiorTemporalGyrus,clust coef e-icoh theta_O1,clust coef e-plv alpha_AF8,clust coef e-plv delta_F2,clust coef e-plv theta_Fp1,dfa exponent theta_CP1,kurtosis ampl alpha_F1,microstate A_Group1_Map1_SegDensity,mod index delta-alpha_F3,node str e-icoh theta_C5,node str e-plv alpha_AF8,node str e-plv delta_F2,node str e-plv theta_Fp1,node str e-wpli alpha_AF8,node str e-wpli theta_CP3
sub-010071,252.4137931,6,0,0,142,0.0746058054150987,0.286035047430385,0.212343300099322,0.197333477446337,0.612856685190374,2.52958219725266,1.6655,0.0038567627107103,4.14581492670812,18.0567144703511,14.524158273062,13.1736309941343,7.05983445017013,0.961577332296858
sub-010072,431.0,92,76,0,748,0.0553562370563433,0.260706343763534,0.217556361288434,0.216049483951737,0.559209360340537,2.73379740173988,1.5509,0.0025791946190086,4.76672323292876,17.2998898030268,14.8501575366236,15.3886578642304,7.78999087344966,0.532824282552158
sub-010073,490.0,2,2,4,28,0.0657671879368065,0.22185196509755,0.208532950914322,0.155932776117775,0.623576700874683,3.14214890483898,2.1291,0.0045225389650453,4.58543833983854,15.7463055964403,14.5767913322691,10.2732050454127,3.11262828263582,1.31427577783704
sub-010074,725.7692308,140,0,106,842,0.0659404643440567,0.257751691540847,0.214773959495003,0.219516468693739,0.628491897136613,2.78281002589034,1.3766,0.0031234788186952,4.47979302850854,16.7627308932334,14.8324348774487,15.2827920787567,4.93055139343483,1.31860313102304
sub-010075,444.8275862,2,16,40,8,0.0591807161986331,0.232934915742513,0.198506361367857,0.14627674510516,0.659257480509596,3.07037540938756,1.23,0.0036207381629399,3.88625510410277,14.3703909725204,14.3740883802737,9.31671531559865,4.90515353311906,0.998641499414217
sub-010076,522.2222222,76,118,0,270,0.0766230170097751,0.258278746030368,0.200789995054913,0.221649223853,0.730728525884892,3.1277698531069,2.1737,0.0042071923848661,5.13940611299822,18.4162545571258,14.2566480658919,15.5527984171863,4.59860657911023,1.50367824397156
sub-010079,467.0,4,30,0,2,0.0719590526366404,0.273830625812159,0.188502507321527,0.182311867290278,0.615194103675394,2.92657791698768,1.5705,0.0038569005216608,4.6834270202579,19.4470082065436,13.677650618083,12.9087566448908,5.02608903545693,0.964738531579377
sub-010080,537.0,16,2,0,0,0.0759126715853927,0.307255986506956,0.22091890241427,0.25806000046968,0.936426816406149,2.41070731982347,0.8971,0.0021304603327207,4.37226383502647,20.1741855028957,15.4409605499025,18.1572560245646,6.08746048387778,1.81300422153558
sub-010083,497.0,0,44,2,54,0.0651945391845586,0.215670722075914,0.219260868210726,0.20231497755026,0.641952202911235,2.82252807575275,1.6353,0.0037835920985537,4.41752505094166,14.535755504331,14.7628531198562,13.8764058680322,1.53058624171677,0.831746463147334
sub-010084,332.0,42,52,0,18,0.118992153157382,0.261135507727896,0.197005022369759,0.211706579303116,0.694961613745839,2.75270337969311,1.5803,0.0036917707814041,7.56772260220515,15.5744580653416,13.4241326326561,13.1643487595414,3.04378286585915,3.68125186630935
sub-010094,773.3333333,34,136,14,0,0.0685103012244021,0.206863248141759,0.230428414955237,0.193536510129052,0.710243209359071,3.23026953853525,2.0708,0.0037387278143233,3.58765494461443,13.3547693453885,16.3085514563421,14.6592714648889,4.064597902788,1.02697100923511
sub-010126,322.0,14,0,0,658,0.087810284519934,0.277270631827576,0.182080772106394,0.170304441735826,0.891221024765204,2.52533223634011,1.1618,0.0034433566944019,6.20994255928366,17.8769103162845,12.8587335675218,10.4893472455257,6.23328854622759,4.24225276233754
sub-010134,432.0,66,0,20,0,0.0574435736745561,0.235689913243508,0.196944024515008,0.202595175597685,0.556456220035638,3.03606930776999,1.6414,0.0033882482451783,3.4384264578123,15.9812026976088,13.6412356282881,14.4013760101383,6.13658290107204,0.745838487566784
sub-010136,448.9285714,0,0,10,70,0.072889617108716,0.173616102391307,0.225625367699345,0.161810980497316,0.626450812665074,2.96697961351432,2.0691,0.0032784324718567,4.08659289787651,11.0978510083142,15.139987781359,10.5708256790927,1.68053601897069,2.07657780407466
sub-010137,511.0,102,58,60,0,0.0741138498624692,0.281045828334134,0.224785535494416,0.229149323791057,0.778688217802199,2.35263244948183,1.2152,0.0031459802994575,4.79796616562471,17.9290839405642,15.9452125327799,15.2914586261422,4.05448918328417,2.15499820734185
sub-010138,397.0,8,38,52,0,0.063886040839455,0.231607929300666,0.176120244268602,0.176504596562715,0.643564202076692,3.34096264777443,1.6933,0.0045744143463764,3.98383921976246,14.9246363803841,12.8244226412765,12.2971017377284,3.85167752008478,0.851287745495722
