id,Tap_simon_incongruent,betw cen e-plv beta_T7,clust coef e-icoh theta_O1,clust coef e-plv alpha_Fp2,clust coef e-plv beta_Fp2,clust coef e-plv delta_F1,clust coef e-plv theta_Fp2,life time delta_P6,microstate D_Group1_Map4_MeanDur,node str e-icoh theta_O1,node str e-plv alpha_Fp2,node str e-plv beta_POz,node str e-plv delta_F1,node str e-plv theta_Fp2,skewness ampl delta_CP1,waiting time delta_FC4
sub-010207,380.0,12,0.0577829732354919,0.153297860374298,0.145982350341616,0.176475565425898,0.162113178592573,1007.51666666667,65.698352,3.33368046475802,10.2169586405308,10.9919813866294,12.4825355134092,11.2302200303584,0.227764565098137,1311.925
sub-010210,415.0,8,0.0527302264363132,0.213132639735185,0.148949747762272,0.199835146514431,0.156132071276094,1063.25,62.798448,3.10113528347285,13.109171929067,8.95561887499757,14.5567603669965,10.3135000643076,0.225751488352611,1215.65
sub-010213,412.0,24,0.0793374731790699,0.200411974045311,0.171361915580985,0.179775993733519,0.159821321161094,1039.825,62.085904,5.37682427992456,12.5179893980463,9.74801516493592,12.9332102189039,9.99170127151203,0.28927353027452,1327.15
sub-010214,395.0,56,0.0648028968922908,0.148915700622942,0.140552595423748,0.172628319270193,0.150743404818673,1023.6,63.424504,3.96489025258318,9.9105524643635,10.8879600238828,11.7705716123276,10.3230851580145,0.249795738855967,1287.6
sub-010215,476.7857143,30,0.0630984545782834,0.164878018576798,0.154917656473125,0.189737369625962,0.143412373475466,1063.475,68.022984,4.05970285508876,10.6396317206931,10.9682577108989,13.417639650876,9.49202474474078,0.275625184913987,1303.05
sub-010218,555.0,76,0.0979456252033062,0.25403938872219,0.180699505453233,0.186677743948516,0.184760394770029,1191.75,56.491392,6.34964662174323,16.0457411178735,13.0620439271015,13.2761474363086,12.7225801263494,0.212543848102335,1375.5
sub-010220,480.0,40,0.109309737374164,0.272053825395002,0.163386686421869,0.220043558350212,0.234205665089811,1079.4,54.844344,7.01445512148826,16.7242303829309,10.3923051230564,14.8847639547984,15.1042082193364,0.29561176283876,1151.68333333333
sub-010224,486.4285714,20,0.0626218965136069,0.186075257388709,0.162313211479588,0.195881776872186,0.192272106110494,1063.8,67.759832,4.01291891089127,13.0232543813729,10.8197108438102,13.4041935297675,13.5300581121005,0.230572828237283,1295.3
sub-010226,494.4827586,46,0.0540872463867169,0.188787424704264,0.144800639113093,0.211423289181426,0.146640316941788,1103.6,61.462136,3.14111137379996,11.5704745663938,10.8364924234587,13.7756791604357,9.91915215261834,0.284301057297936,1343.25
sub-010227,350.0,12,0.0737107399520079,0.200449156240884,0.146080899407667,0.216145879762109,0.149075195276476,999.0,60.731344,4.64861016605286,11.9284408303777,10.7180242949007,14.9061941308249,9.19385849895744,0.256866890499354,1183.95
sub-010228,474.0,36,0.0567278629617936,0.148675600977582,0.15019502877531,0.20035486905226,0.172720175224518,1055.825,61.599528,3.38324954683768,9.99323848515762,10.1946550621811,13.3482936277099,12.0469760233471,0.228086050487189,1199.65
sub-010229,405.0,2,0.0805720436133193,0.287203823961685,0.162564500556964,0.177485137828338,0.183843707618935,1079.05,54.650416,4.90375380440477,17.8734614277678,12.3631768662207,11.5373638320909,10.9952228059072,0.328988422676892,1319.91666666667
sub-010230,367.0,100,0.0630294408832486,0.24793677460655,0.16232691012465,0.169686443811295,0.172823600951946,1159.15,71.394136,3.68962665182738,14.9309382989246,10.4510195999388,12.4776190889904,12.4537660202661,0.253765199241917,1271.6
sub-010231,401.3793103,0,0.0561514183912417,0.192547911433616,0.154713644757104,0.178964823694597,0.158800986116804,1047.95,66.200464,3.38225345159425,12.6150631092972,10.5761691626329,13.043271758936,11.0326699764537,0.230095200510252,1271.05
sub-010232,346.5517241,4,0.059734182452663,0.155243401577386,0.156467144870482,0.179752070070258,0.151482877751259,1143.05,63.827288,3.7272326949437,10.3860103173351,9.25220726925336,12.2693580164541,10.6811731158458,0.223952301614103,1335.5
sub-010233,466.0,8,0.0613748094027175,0.213766897127131,0.140047822899208,0.214925390772779,0.171257927857941,983.716666666667,60.912912,3.49752459894511,12.6663774254517,10.0572320218974,14.6491305769882,11.4375376260403,0.215648132404188,1191.45
sub-010236,440.0,6,0.058225757955406,0.2207915405373,0.168868559137357,0.19324255105436,0.186824768305967,1047.725,59.651416,3.38631929947401,13.3665954861494,11.3415743285321,13.7263300667432,13.3013349152993,0.22869559818036,1223.75
sub-010238,438.0,6,0.074915683113093,0.232409259991575,0.170333847931769,0.176120440539769,0.184874093240748,1111.36,66.067712,4.87030556088026,14.333888038731,10.9389744918911,13.0223896326787,12.9554567526283,0.280876600923664,1255.8
sub-010240,517.2413793,2,0.0575814241135315,0.166061613748827,0.151601789921291,0.191686505593495,0.170612439268064,983.55,60.59456,3.39144397292073,10.0471660833289,11.5006650570593,13.5068605175895,11.8338338031642,0.226001911618113,1247.725
sub-010241,391.0344828,2,0.0553023116588051,0.162858683782075,0.161860359135939,0.21904013527634,0.170256046048527,1007.975,68.289992,3.15149927122819,10.6692520319484,11.3875328582721,15.4803398696801,11.3698864161756,0.236730427410235,1343.45
sub-010252,430.0,20,0.066365743552037,0.195780813040371,0.142426143768994,0.171588537337127,0.150306888755377,1271.15,60.095608,4.00979352015591,12.4798347420961,9.96470812252528,12.1807892897757,9.89818015445438,0.269877373801423,1167.85
sub-010256,507.7777778,130,0.0629452022270618,0.189788278976289,0.145370704478923,0.238744745954539,0.189066035513771,1031.13333333333,63.618608,3.57081452756229,11.8941524181136,9.8258951790359,16.5779661948656,12.9875546323687,0.235934916987358,1247.65
sub-010260,499.2857143,2,0.0553489494393,0.190507891001714,0.150002914593049,0.191282366895759,0.174153009493798,1071.6,66.642496,3.12089789389195,11.4224884371675,9.7917820574859,13.6964898052487,12.1479630793509,0.263758570571957,1175.3
sub-010261,460.3448276,4,0.056338797972415,0.206030540075766,0.164964470833212,0.232746721699744,0.196752991223203,919.9,64.60704,3.27973787043632,13.8127488479699,10.6951671386323,16.2077505169395,13.665419853754,0.204012176102008,1119.6
sub-010262,429.0,38,0.0688210210755349,0.225545473316628,0.153000467895523,0.187511158306714,0.166191973721184,1199.575,60.933256,4.21441480226489,14.5633087523224,10.6464968063581,13.0996922788112,10.6183511241692,0.257292343518892,1303.7
sub-010263,559.0,10,0.076443660249883,0.204395065857273,0.145751519118062,0.186040466846747,0.1754774288833,959.475,60.026304,4.30288309572569,13.0031235342873,9.97362387269455,13.2090623705136,11.35285795103,0.231770691195088,1263.3
sub-010264,414.8275862,6,0.0609877618577574,0.203159397493863,0.144610893002321,0.227609836787909,0.186247594513419,1015.4,65.712944,3.6811232136383,13.0768288764299,10.8554050158138,15.1020101898082,12.9819504411104,0.253505393080582,1183.93333333333
sub-010265,403.9285714,10,0.0663723376593056,0.218157732749079,0.153581676479489,0.188243392698419,0.164639903082447,999.3,60.846696,4.01374304617484,13.6446804277423,11.3899057015701,13.0139701931648,11.0315699588475,0.245657071698215,1055.13333333333
sub-010266,465.5555556,0,0.0681610194645964,0.164952291472386,0.165522923270355,0.214866513117207,0.170739046156338,1135.7,70.335504,4.35048108337666,10.3129109112291,10.3618720318892,15.2216280124804,12.084537092326,0.27185366891201,1215.8
sub-010269,422.0,4,0.0582478240327798,0.220709520280091,0.153741551434052,0.191988001589118,0.156871547522061,975.716666666666,63.889592,3.51892487487761,14.9882687221241,11.0595088159951,13.1206453297758,10.9581268179205,0.245172794471456,1199.15
sub-010270,410.6896552,22,0.0662309800492266,0.178982298859935,0.173457974535501,0.171270882954909,0.181489099531286,1183.7,66.913088,4.02329397615513,11.823706991962,11.1097536095395,12.5753701220162,13.0693459326751,0.268166400088216,1303.55
sub-010271,406.5517241,0,0.0622235177906855,0.28633118129492,0.22341749764443,0.302258913314232,0.283516321339564,1199.05,0.0,3.71877033877588,17.8336467999407,11.2515719019295,19.7717899778224,18.2765491943386,0.26384771670426,1359.45
sub-010273,522.8571429,8,0.0537302646546955,0.265172301631468,0.192337270131868,0.225879318007487,0.177314151792488,1111.35,64.820656,3.0643886606353,16.5823668551738,11.6083002076029,15.1522519781343,12.0097957730522,0.206408906954357,1095.55
sub-010274,610.0,2,0.0602147106064995,0.217933097386718,0.187722730231241,0.192972650535614,0.19278593243019,1103.875,68.437208,3.36945656625813,14.507189212294,11.4643333031643,13.4511382436917,13.5182392136002,0.253016394585189,1223.65
