id,Rwt_animal_categories,betw cen e-plv alpha_F6,betw cen e-plv beta_F4,betw cen e-plv theta_Pz,clust coef e-icoh alpha_T8,clust coef e-wpli alpha_CP4,dfa exponent delta_FT8,kurtosis ampl gamma_PO9,life time theta_C4,microstate B_Group1_Map2_SegDensity,microstate C_Group1_Map3_SegDensity,node str e-wpli alpha_C6
sub-010076,32.0,0,24,0,0.0943397133187772,0.0402771308036926,0.766428462778631,3.04652062584964,719.975,2.4204,2.0137,3.27787905994611
sub-010079,39.0,4,2,4,0.0898455348719571,0.0474123225575312,0.53997212852186,2.93802955321885,687.75,1.7081,1.8835,2.48356689771215
sub-010080,49.0,392,130,0,0.110674643284071,0.119313828314411,0.565793244555481,3.02816182520685,495.366666666667,0.8853,2.7603,7.49020955988332
sub-010083,44.0,0,12,0,0.0758071702008656,0.0329046343118442,0.528673424818305,2.96033779437734,567.5,2.2321,2.3005,2.00401707703373
sub-010084,51.0,2,84,8,0.132313111188801,0.161323997917626,0.588603156571414,3.04071542923608,775.116666666667,0.9312,2.8802,8.46032482278544
sub-010094,36.0,4,8,54,0.0961204883694478,0.0585964552812238,0.648256015745273,3.02831610997284,631.116666666667,1.6177,1.7969,4.44537088231342
sub-010126,31.0,18,22,2,0.112919315721858,0.0730688171206345,0.582350928561625,3.02715345989643,591.566666666667,1.6735,2.7386,4.31718457496543
sub-010134,50.0,326,62,44,0.109078975453126,0.0510040228138057,0.556887347236451,3.05425219248733,671.15,1.4908,2.7875,5.42918366721363
sub-010136,21.0,26,4,16,0.0862552101848768,0.0470535049943594,0.622643591042921,3.01918616086325,607.525,1.7339,2.5209,3.84119619271901
sub-010137,34.0,2,30,12,0.11050095389109,0.05812166365609,0.598120846682684,3.02635221688312,575.133333333334,0.9052,2.4554,6.23014893995694
sub-010138,41.0,38,30,34,0.0992460515444722,0.0703120452282074,0.546428320774573,3.40356080512538,575.825,1.51,2.5167,3.63714947968874
sub-010141,36.0,0,6,4,0.087193561425648,0.0681863387621616,0.605679978364056,2.95160730282782,599.6,1.6283,1.9233,2.24771459621198
sub-010142,30.0,2,24,64,0.0976537337298544,0.0527801559169335,0.540620406282839,2.94697594573943,583.825,1.6752,2.1696,3.73275084785514
sub-010150,53.0,6,20,44,0.0969693745377627,0.0412248633599233,0.611850881853279,3.06186678638538,567.333333333333,2.2538,2.47,3.77759288920266
sub-010155,26.0,24,22,18,0.0967220631809354,0.0575894229664259,0.596082376976417,2.99465878034933,631.575,1.576,2.2611,5.06618074310162
sub-010157,39.0,6,48,12,0.0809610479281612,0.0403696565041848,0.544443924639479,2.96293018830061,591.15,1.2166,2.0683,2.98694713892317
sub-010162,54.0,194,28,8,0.107172320525723,0.0967732752705352,0.580629692068776,3.13169618067242,591.9,2.3017,2.6764,5.36581967438834
sub-010163,47.0,2,102,0,0.0940860242597524,0.0382142363515882,0.57957151462332,3.10570071434843,591.766666666667,1.568,2.8591,5.42758293280472
sub-010164,33.0,30,38,54,0.0794848260324399,0.0318723705930319,0.621970920908966,2.99905665459201,647.266666666667,1.9309,2.4892,1.89148653152417
sub-010165,42.0,4,2,54,0.0971880672097346,0.0488022428491198,0.613537710352411,3.02989803100989,759.3,1.8386,2.8449,3.6269863728105
