id,Tap_working_memory,ampl total power gamma_C2,betw cen e-plv delta_Pz,clust coef e-plv delta_FC1,kurtosis ampl beta_CP6,kurtosis ampl delta_F6,life time beta_POz,life time theta_TP7,lyapunov exponent_CP6,mean ampl gamma_C2,mod index alpha-beta_Cz,node str e-plv delta_P3,range coef var beta_C4,skewness ampl gamma_C1,std ampl beta_C1,std ampl gamma_C2,waiting time beta_P2,waiting time gamma_P3,waiting time theta_O2
sub-010166,767.7272727,0.314368354300662,2,0.270384238803029,3.24312809462081,2.83420957463358,191.504545454545,631.8,2.71386866004346,0.628735307746922,0.0013827940312295,15.8923623592337,0.289494258614487,0.0147747266395987,4.63828847242704,0.643251302492272,199.559375,127.040425531915,631.450000000001
sub-010168,658.0,0.40126398480438,2,0.187103340787396,3.09142373379074,2.95272791692404,175.806666666667,687.375,-0.433736244939531,0.802524524576821,0.0012469289203244,12.5052579756526,0.215431527113564,0.0154495025826821,4.6873091504319,0.803051208351383,207.208823529412,111.27,663.5
sub-010170,492.8571429,0.425134402210673,18,0.162982819718045,3.21116053339886,2.94838397183071,215.76875,647.983333333333,5.77579505824778,0.850267465948148,0.0011186614924514,11.0656990772439,0.265683807286993,0.0078633476475754,7.65706798213398,0.849701131852195,223.413333333333,135.005319148936,743.55
sub-010176,380.0,0.775584341312769,16,0.184240943273757,3.45388119724258,2.99374539104776,215.545,631.583333333333,11.8107380536013,1.55116232370273,0.0013437519711928,11.6724806321849,0.317909430710916,0.0101981201830014,15.2016532413885,1.6002588843815,263.79375,143.325,719.1
sub-010183,497.0,0.281172080660731,0,0.194647181577742,3.34146975925256,2.9991811870766,223.716666666667,575.65,11.6719393884013,0.562342763684743,0.0012965854750621,14.4352006400584,0.276503557605383,0.0161990149377796,7.31606658624459,0.564831801068092,231.580555555556,119.964814814815,639.4
sub-010191,575.0,0.221218842305146,14,0.218772635997289,3.0721126816562,2.92993591876566,159.91935483871,527.0,12.7000317406346,0.442436883034336,0.000998341478283,13.6241093309474,0.217766111362965,0.0183139642617617,4.01317720878288,0.456418365199054,215.636363636364,111.31,543.525
sub-010192,545.7692308,0.330876093846642,34,0.179440152978544,3.61559724722775,2.95964796105421,183.309615384615,559.9,10.3354680456663,0.661749650306873,0.0011895706934629,11.9130275724056,0.361315771948403,0.012556746147681,9.0396433599217,0.686655246583164,223.517857142857,127.210465116279,559.475
sub-010194,882.0,0.172801398445896,0,0.206082345320099,3.01434333980192,2.89312112333147,191.6225,607.458333333333,-0.287551691156176,0.345602236898056,0.0011459643918855,13.1935746029167,0.227513486792787,0.0176894252904987,2.59664286604092,0.350390542663666,207.491176470588,111.189830508475,615.275
sub-010195,765.0,0.158199508085906,8,0.198614199617481,3.16710578584656,2.78465400297774,167.610526315789,583.975,4.46201565839113,0.316398451383697,0.0009511811141388,13.5874202777448,0.300553355203493,0.0150570873064992,2.09455903866753,0.317883661384217,215.486363636364,111.725,639.266666666667
sub-010196,434.0,0.214587300045131,4,0.194851776455233,3.20732715607806,2.89099612073121,199.685294117647,695.85,2.75127362728898,0.429173189950244,0.0013469360013603,12.1759328451191,0.354931340811933,0.0076970787377305,4.443573104308,0.437708523367225,255.4125,143.441304347826,679.15
sub-010197,323.0,0.222282848796435,16,0.188352271665987,3.05054483413962,2.7663998528272,159.867307692308,655.775,10.0531083924753,0.444565256638214,0.0011602871975351,12.3901622680905,0.243023386249074,0.033627276464637,2.19064658889423,0.465024238018135,175.111290322581,111.988983050847,727.9
sub-010200,696.0,0.342150171176276,0,0.175284230211043,3.05199161580783,2.90221986924415,111.318421052632,528.0,9.82122607498973,0.684297225157944,0.000909243179798,12.985436778919,0.246529498401976,0.0114747817687626,8.9454407714268,0.669324142529169,183.365625,111.898717948718,583.9
sub-010201,902.3076923,0.163859962423283,0,0.207083262232105,3.22713943803854,2.88751463019451,159.32037037037,575.825,2.09852649403639,0.327719306395646,0.0011847182686518,13.5641507098969,0.274576242018067,0.0198515770001561,2.10146531624291,0.325111305946136,191.597619047619,119.255797101449,559.575
sub-010202,475.3846154,0.146676666435374,44,0.208273363380417,3.02954342704107,2.81439753856294,175.004,599.25,-1.42354403200388,0.293352945736869,0.0011896157529837,13.8929229774159,0.24617497297236,0.0217202451242765,1.17919816654375,0.289397947611245,175.771428571429,111.265079365079,623.5
